geo_id,Population,Frequency,lat,lon,City,State
98001,35393.0476,10602,47.30919,-122.26426,Auburn,Washington
98002,35216.9867,13917,47.3082,-122.21567,Auburn,Washington
98003,49448.6388,16293,47.30596,-122.31465,Federal Way,Washington
98004,34724.358,7814,47.61865,-122.20548,Bellevue,Washington
98005,19683.8381,4348,47.61494,-122.16814,Bellevue,Washington
98006,40272.9579,8563,47.55772,-122.14957,Bellevue,Washington
98007,28984.4257,7165,47.61392,-122.14378,Bellevue,Washington
98008,26072.6954,5862,47.60551,-122.11219,Bellevue,Washington
98010,5512.0523,1750,47.31173,-122.00326,Black Diamond,Washington
98011,27427.6186,5734,47.75736,-122.19871,Bothell,Washington
98014,7902.106,1169,47.69664,-121.84024,Carnation,Washington
98019,12103.9458,1953,47.74083,-121.93494,Duvall,Washington
98022,22998.4916,6537,47.1714,-121.67958,Enumclaw,Washington
98023,51636.562,15875,47.30881,-122.36198,Federal Way,Washington
98024,5625.6523,842,47.57301,-121.90219,Fall City,Washington
98027,28356.086,6110,47.50387,-122.00176,Issaquah,Washington
98028,23250.0247,4541,47.75162,-122.24892,Kenmore,Washington
98029,29988.1102,5543,47.5576,-122.0091,Issaquah,Washington
98030,37419.1711,11090,47.36817,-122.19749,Kent,Washington
98031,42170.7682,12184,47.4055,-122.1943,Kent,Washington
98032,34820.5213,11743,47.3922,-122.25819,Kent,Washington
98033,38843.4301,7981,47.67616,-122.19267,Kirkland,Washington
98034,51273.8812,10380,47.71612,-122.21332,Kirkland,Washington
98038,35080.4817,9662,47.41861,-121.95589,Maple Valley,Washington
98039,3237.8094,587,47.63308,-122.23963,Medina,Washington
98040,24470,5140,47.56611,-122.232,Mercer Island,Washington
98042,48906.46,13265,47.36508,-122.11623,Kent,Washington
98045,15436.6826,3030,47.48276,-121.65678,North Bend,Washington
98047,6712.5291,2391,47.26079,-122.24822,Pacific,Washington
98050,281.8701,100,47.54764,-121.93663,Preston,Washington
98051,3881.2757,940,47.3396,-121.89049,Ravensdale,Washington
98052,69871.5443,13246,47.68148,-122.1203,Redmond,Washington
98053,22209.0842,3448,47.66491,-122.02071,Redmond,Washington
98055,24039.3052,6991,47.44775,-122.20205,Renton,Washington
98056,37440.7521,9784,47.51281,-122.18923,Renton,Washington
98057,15542.7231,3852,47.47188,-122.21961,Renton,Washington
98058,43963.7437,10964,47.44082,-122.12503,Renton,Washington
98059,38314.2162,9633,47.49563,-122.12474,Renton,Washington
98065,15606.6959,3044,47.59234,-121.78931,Snoqualmie,Washington
98068,15.0451,10,47.45154,-121.35795,Snoqualmie Pass,Washington
98070,10794.745,1241,47.41219,-122.4726,Vashon,Washington
98072,24563.9732,4217,47.76151,-122.13153,Woodinville,Washington
98074,29057.4787,4716,47.62206,-122.04437,Sammamish,Washington
98075,24575.471,4590,47.58683,-122.03796,Sammamish,Washington
98077,14300.4823,1894,47.75263,-122.05754,Woodinville,Washington
98092,47642.7011,13095,47.28851,-122.13123,Auburn,Washington
98101,16451.9143,4249,47.61119,-122.33454,Seattle,Washington
98102,27970.4741,5946,47.63627,-122.32337,Seattle,Washington
98103,53618.6496,12119,47.6732,-122.34258,Seattle,Washington
98104,18169.3342,5134,47.60044,-122.33004,Seattle,Washington
98105,51325.3013,12325,47.66094,-122.28321,Seattle,Washington
98106,26007.8308,7438,47.54339,-122.35366,Seattle,Washington
98107,29849.3423,6021,47.66757,-122.37789,Seattle,Washington
98108,25394.8957,6906,47.54113,-122.3126,Seattle,Washington
98109,33444.2114,7665,47.63128,-122.34486,Seattle,Washington
98112,22972.1474,5298,47.63242,-122.28732,Seattle,Washington
98115,53033.0881,11826,47.68547,-122.28234,Seattle,Washington
98116,26453.3696,6334,47.57399,-122.39503,Seattle,Washington
98117,33794.0088,7460,47.6882,-122.38157,Seattle,Washington
98118,48825.3304,13628,47.54235,-122.26872,Seattle,Washington
98119,28058.6164,5420,47.63943,-122.36932,Seattle,Washington
98121,23029.4693,4344,47.61548,-122.34668,Seattle,Washington
98122,43047.5726,10209,47.60985,-122.29569,Seattle,Washington
98125,43005.5021,9930,47.71706,-122.29969,Seattle,Washington
98126,25058.4875,6096,47.54732,-122.37454,Seattle,Washington
98133,49934.1703,12370,47.7399,-122.34432,Seattle,Washington
98134,1215.2458,477,47.57691,-122.33686,Seattle,Washington
98136,15853.2094,3693,47.53686,-122.38992,Seattle,Washington
98144,32673.1514,8955,47.58582,-122.29205,Seattle,Washington
98146,29176.6913,7831,47.50008,-122.35768,Seattle,Washington
98148,9833.8298,3486,47.44494,-122.32587,Seattle,Washington
98155,34534.1872,9075,47.75609,-122.30039,Seattle,Washington
98158,0.0013,11,47.45043,-122.30805,Seattle,Washington
98166,23086.9632,5204,47.45256,-122.34978,Seattle,Washington
98168,36715.2266,11294,47.48898,-122.30175,Seattle,Washington
98177,19884.6241,4581,47.74237,-122.37085,Seattle,Washington
98178,24716.2653,7433,47.49921,-122.24735,Seattle,Washington
98188,24272.1992,8630,47.44754,-122.27398,Seattle,Washington
98195,3591.7065,478,47.65466,-122.30752,Seattle,Washington
98198,36914.258,12001,47.39469,-122.31111,Seattle,Washington
98199,21508.3169,4334,47.65139,-122.40223,Seattle,Washington
98224,125.4517,19,47.7357,-121.56859,Baring,Washington
98288,331.1198,48,47.65204,-121.3574,Skykomish,Washington
98354,7362.0262,282,47.25113,-122.31557,Milton,Washington